Titta Fasciotti, 1927-1993
Herbert Coetzee, 1921-2008
Willem Hermanus Coetzer, 1900-1983
Wilfred Delporte, 1937-
Paul Edmunds, 1970-
Alan Crump, 1949-2009
Lorraine Edelstein, 1929-
Peter Croxon, 1937-
Tinus de Jongh, 1885-1942
Jean Doyle, 1930-
Peter Clarke, 1929-2014
Linda Caroll, 1947-2007
Kerri-Jane Evans, 1967-
Cecil Skotnes, 1926-2009
Jan Dingemans, 1921-2001
Emily Isabel Fern, 1881-1953
Larita Engelbrecht, 1986-
Tom Cullberg,Swedish/ 1972-
Pauline Gutter, 1980-
Ruan Hoffmann, 1971 -
Louise Hall, 1960-
Helen Joseph, 20th Century
Cecil Higgs, 1898-1986
Dorothee Kreutzfeldt, 1970-
Shadrack Sepenya Hlalele, 1956-
Karin Jaroszynska, 1934-2014
Anton van Wouw, 1862-1945
Corné Joubert, 1971-
Allerley Glossop, 1870-1955
David Goldblatt, 1930-2018
Maggie Laubser, 1886-1973
Sidney Goldblatt, 1919-1979
Martin (Martinus Stephanus) Koch, 1940-
Sydney Kumalo, 1935-1988
Vladimir Tretchikoff, 1913-2006
Frances Goodman, 1975-
George Jaholkowski,Russian/ 1914-1980
Jack Heath,British/ 1915-1969
Moses Kottler, 1892-1977
Ian Grose, 1985-
Alexis Preller, 1911-1975
Diana Hyslop, 1949-
Ian Garrett, 1971-
Keith Joubert, 1948-2013
Piet Kannemeyer, 1927-1995
Erik Laubscher, 1927-2013
Hannes Harrs, 1927-2006
Heidi Herzog, 1905-1967
Alfred Krenz, 1899-1980
David Koloane, 1938-2019
George Hallett, 1942-
Matthew Hindley, 1974-
Francois Koch, 1944-
Pieter Hugo, 1976-
Vusi Khumalo, 1951-
Constance Helen Greaves, 1882-1966
Donald Greig, 1959-
Job Kekana, 1916-1995
Ernest Benjamin King, 20th Century
Braam Kruger, 1950-2008
Welcome Koboka, 1941-1999
Aleksanders Klopcanovs,Uzbekistani/ 1912-1997
Heather Gourlay-Conyngham, 1956
Anton Karstel, 1968-
Vivienne Koorland, 1957-
Martin Koch, 1940-
Kendell Geers, 1968-
Georgina Gratrix, 1982-
Helena Hugo, 1975-
Robert Hodgins, 1920-2010
William Kentridge, 1955-
François Krige, 1913-1994
Shayne Haysom,/American 1950-
Wopko Jensma, 1939- c. 1993
Walter Battiss, 1906-1982
Fritz Krampe,German/ 1913-1966
John Kramer, 1946-
William Kentridge and Deborah Bell and Robert Hodgins, 20th Century
Jacob Hendrik Pierneef, 1886-1957
Robert Hodgins in collaboration with Marguerite Stephens, 20th Century
Charles Gassner, 1915-1977
Robert Gwelo Goodman, 1871-1939
Nicholas Hlobo, 1975 -
Dorothy Kay, 1886-1964
Irma Stern, 1894-1966
Terence King, 1947
Jackson Hlungwani, 1923-2010
Jacqueline Hoffe, 1932-
May Hillhouse, 1908-1989
Digby Hoets, 1949-
Simon Rhys Jones, 1951-
Irmin Henkel, 1921-1977
Vic Guhrs, 1943-
Gregoire Boonzaier, 1909-2005
Peter Haden, 1939-1997
Noel Hodnett,/Canadian 1949-
Eli Kobeli, 1932-1999
Edith King, 1869-1962
Claire Gavronsky, 1957-
Judith Gluckman, 1915-1961
Wallace Hugh Hulley, 1931-
"Judith Mason, Ettienne Koekemoer and Daniël Jansen van Vuuren",
Sharlene Kahn, 1977-
Phillemon Hlungwani, 1975-
Anton Kannemeyer, 1967-
Avant Car Guard, 21st Century
Mickey Korzennik, 1930-
Neil Goedhals, 1957-1990
Ruth Everard Haden, 1904-1992
Siegfried Hahn, 1914-2008
Tadeusz Jaroszynski, 1933-
Michael Ferreira Heyns, 1946-
Margaret Gradwell, 1956-
Cecil Skotnes, 1926-2009
Fée Halsted, 1958-
Alexandra Karakashian, 1988-
